benchmark,truth_set,reference,eval_mode,caller,aligner,platform,depth,depth_numeric,F1,caller_index,aligner_index,category_x,x,trajectory
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,minimap2,BGI,10x,10,0.756103,1,1,1,0.8,minimap2.cuteSV.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,minimap2,BGI,30x,30,0.78707800000000006,1,1,1,1,minimap2.cuteSV.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,minimap2,BGI,50x,50,0.809751,1,1,1,1.2,minimap2.cuteSV.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,minimap2,ONT,10x,10,0.785789,1,1,1,0.8,minimap2.cuteSV.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,minimap2,ONT,30x,30,0.812677,1,1,1,1,minimap2.cuteSV.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,minimap2,ONT,50x,50,0.831735,1,1,1,1.2,minimap2.cuteSV.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,minimap2,HiFi,10x,10,0.77162,1,1,1,0.8,minimap2.cuteSV.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,minimap2,HiFi,30x,30,0.793856,1,1,1,1,minimap2.cuteSV.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,minimap2,HiFi,50x,50,0.836309,1,1,1,1.2,minimap2.cuteSV.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,minimap2,BGI,10x,10,0.725562,2,1,2,1.8,minimap2.Sniffles2.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,minimap2,BGI,30x,30,0.803525,2,1,2,2,minimap2.Sniffles2.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,minimap2,BGI,50x,50,0.808313,2,1,2,2.2,minimap2.Sniffles2.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,minimap2,ONT,10x,10,0.77388,2,1,2,1.8,minimap2.Sniffles2.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,minimap2,ONT,30x,30,0.83227,2,1,2,2,minimap2.Sniffles2.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,minimap2,ONT,50x,50,0.834717,2,1,2,2.2,minimap2.Sniffles2.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,minimap2,HiFi,10x,10,0.75609,2,1,2,1.8,minimap2.Sniffles2.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,minimap2,HiFi,30x,30,0.835518,2,1,2,2,minimap2.Sniffles2.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,minimap2,HiFi,50x,50,0.841674,2,1,2,2.2,minimap2.Sniffles2.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,minimap2,BGI,10x,10,0.786877,3,1,3,2.8,minimap2.sawfish.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,minimap2,BGI,30x,30,0.818254,3,1,3,3,minimap2.sawfish.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,minimap2,BGI,50x,50,0.816983,3,1,3,3.2,minimap2.sawfish.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,minimap2,ONT,10x,10,0.809488,3,1,3,2.8,minimap2.sawfish.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,minimap2,ONT,30x,30,0.83035,3,1,3,3,minimap2.sawfish.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,minimap2,ONT,50x,50,0.831081,3,1,3,3.2,minimap2.sawfish.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,minimap2,HiFi,10x,10,0.801404,3,1,3,2.8,minimap2.sawfish.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,minimap2,HiFi,30x,30,0.825637,3,1,3,3,minimap2.sawfish.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,minimap2,HiFi,50x,50,0.826518,3,1,3,3.2,minimap2.sawfish.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,minimap2,BGI,10x,10,0.758017,4,1,4,3.8,minimap2.SVDSS.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,minimap2,BGI,30x,30,0.824076,4,1,4,4,minimap2.SVDSS.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,minimap2,BGI,50x,50,0.831857,4,1,4,4.2,minimap2.SVDSS.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,minimap2,ONT,10x,10,0.816835,4,1,4,3.8,minimap2.SVDSS.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,minimap2,ONT,30x,30,0.845244,4,1,4,4,minimap2.SVDSS.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,minimap2,ONT,50x,50,0.847937,4,1,4,4.2,minimap2.SVDSS.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,minimap2,HiFi,10x,10,0.800423,4,1,4,3.8,minimap2.SVDSS.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,minimap2,HiFi,30x,30,0.847815,4,1,4,4,minimap2.SVDSS.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,minimap2,HiFi,50x,50,0.854077,4,1,4,4.2,minimap2.SVDSS.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,winnowmap,BGI,10x,10,0.748827,1,2,5.65,5.45,winnowmap.cuteSV.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,winnowmap,BGI,30x,30,0.776719,1,2,5.65,5.65,winnowmap.cuteSV.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,winnowmap,BGI,50x,50,0.803222,1,2,5.65,5.8500000000000005,winnowmap.cuteSV.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,winnowmap,ONT,10x,10,0.774833,1,2,5.65,5.45,winnowmap.cuteSV.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,winnowmap,ONT,30x,30,0.801124,1,2,5.65,5.65,winnowmap.cuteSV.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,winnowmap,ONT,50x,50,0.823734,1,2,5.65,5.8500000000000005,winnowmap.cuteSV.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,winnowmap,HiFi,10x,10,0.744815,1,2,5.65,5.45,winnowmap.cuteSV.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,winnowmap,HiFi,30x,30,0.766451,1,2,5.65,5.65,winnowmap.cuteSV.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,cuteSV,winnowmap,HiFi,50x,50,0.810562,1,2,5.65,5.8500000000000005,winnowmap.cuteSV.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,winnowmap,BGI,10x,10,0.713151,2,2,6.65,6.45,winnowmap.Sniffles2.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,winnowmap,BGI,30x,30,0.795928,2,2,6.65,6.65,winnowmap.Sniffles2.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,winnowmap,BGI,50x,50,0.803912,2,2,6.65,6.8500000000000005,winnowmap.Sniffles2.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,winnowmap,ONT,10x,10,0.757814,2,2,6.65,6.45,winnowmap.Sniffles2.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,winnowmap,ONT,30x,30,0.821098,2,2,6.65,6.65,winnowmap.Sniffles2.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,winnowmap,ONT,50x,50,0.824611,2,2,6.65,6.8500000000000005,winnowmap.Sniffles2.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,winnowmap,HiFi,10x,10,0.725472,2,2,6.65,6.45,winnowmap.Sniffles2.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,winnowmap,HiFi,30x,30,0.807075,2,2,6.65,6.65,winnowmap.Sniffles2.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,Sniffles2,winnowmap,HiFi,50x,50,0.813237,2,2,6.65,6.8500000000000005,winnowmap.Sniffles2.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,winnowmap,BGI,10x,10,0.782209,3,2,7.65,7.45,winnowmap.sawfish.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,winnowmap,BGI,30x,30,0.815822,3,2,7.65,7.65,winnowmap.sawfish.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,winnowmap,BGI,50x,50,0.815041,3,2,7.65,7.8500000000000005,winnowmap.sawfish.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,winnowmap,ONT,10x,10,0.805232,3,2,7.65,7.45,winnowmap.sawfish.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,winnowmap,ONT,30x,30,0.82853,3,2,7.65,7.65,winnowmap.sawfish.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,winnowmap,ONT,50x,50,0.830408,3,2,7.65,7.8500000000000005,winnowmap.sawfish.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,winnowmap,HiFi,10x,10,0.796191,3,2,7.65,7.45,winnowmap.sawfish.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,winnowmap,HiFi,30x,30,0.824342,3,2,7.65,7.65,winnowmap.sawfish.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,sawfish,winnowmap,HiFi,50x,50,0.826343,3,2,7.65,7.8500000000000005,winnowmap.sawfish.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,winnowmap,BGI,10x,10,0.750107,4,2,8.65,8.450000000000001,winnowmap.SVDSS.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,winnowmap,BGI,30x,30,0.823458,4,2,8.65,8.65,winnowmap.SVDSS.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,winnowmap,BGI,50x,50,0.831313,4,2,8.65,8.85,winnowmap.SVDSS.BGI
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,winnowmap,ONT,10x,10,0.811276,4,2,8.65,8.450000000000001,winnowmap.SVDSS.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,winnowmap,ONT,30x,30,0.845628,4,2,8.65,8.65,winnowmap.SVDSS.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,winnowmap,ONT,50x,50,0.848309,4,2,8.65,8.85,winnowmap.SVDSS.ONT
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,winnowmap,HiFi,10x,10,0.789524,4,2,8.65,8.450000000000001,winnowmap.SVDSS.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,winnowmap,HiFi,30x,30,0.83566,4,2,8.65,8.65,winnowmap.SVDSS.HiFi
GIAB5,GIAB v5.0q,GRCh38,基于比对,SVDSS,winnowmap,HiFi,50x,50,0.842255,4,2,8.65,8.85,winnowmap.SVDSS.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,minimap2,BGI,10x,10,0.7815,1,1,1,0.8,minimap2.cuteSV.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,minimap2,BGI,30x,30,0.8223,1,1,1,1,minimap2.cuteSV.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,minimap2,BGI,50x,50,0.8283,1,1,1,1.2,minimap2.cuteSV.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,minimap2,ONT,10x,10,0.7601,1,1,1,0.8,minimap2.cuteSV.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,minimap2,ONT,30x,30,0.7863,1,1,1,1,minimap2.cuteSV.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,minimap2,ONT,50x,50,0.8295,1,1,1,1.2,minimap2.cuteSV.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,minimap2,HiFi,10x,10,0.7123,1,1,1,0.8,minimap2.cuteSV.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,minimap2,HiFi,30x,30,0.7252,1,1,1,1,minimap2.cuteSV.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,cuteSV,minimap2,HiFi,50x,50,0.8359,1,1,1,1.2,minimap2.cuteSV.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,minimap2,BGI,10x,10,0.7789,2,1,2,1.8,minimap2.Sniffles2.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,minimap2,BGI,30x,30,0.8515,2,1,2,2,minimap2.Sniffles2.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,minimap2,BGI,50x,50,0.86,2,1,2,2.2,minimap2.Sniffles2.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,minimap2,ONT,10x,10,0.7668,2,1,2,1.8,minimap2.Sniffles2.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,minimap2,ONT,30x,30,0.8507,2,1,2,2,minimap2.Sniffles2.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,minimap2,ONT,50x,50,0.8586,2,1,2,2.2,minimap2.Sniffles2.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,minimap2,HiFi,10x,10,0.7049,2,1,2,1.8,minimap2.Sniffles2.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,minimap2,HiFi,30x,30,0.8456,2,1,2,2,minimap2.Sniffles2.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,Sniffles2,minimap2,HiFi,50x,50,0.8535,2,1,2,2.2,minimap2.Sniffles2.HiFi
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,minimap2,BGI,10x,10,0.8682,3,1,3,2.8,minimap2.sawfish.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,minimap2,BGI,30x,30,0.8828,3,1,3,3,minimap2.sawfish.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,minimap2,BGI,50x,50,0.8845,3,1,3,3.2,minimap2.sawfish.BGI
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,minimap2,ONT,10x,10,0.8872,3,1,3,2.8,minimap2.sawfish.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,minimap2,ONT,30x,30,0.915,3,1,3,3,minimap2.sawfish.ONT
CMRG,GIAB CMRG,GRCh38,基于比对,sawfish,minimap2,ONT,50x,50,0.9208,3,1,3,3.2,minimap2.sawfish.ONT
